2019-05-06 11:25:04.256281, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000153] is in the window to link with internal bag_id [000022641], scan state: NotScanned, travel dist: 1626.00, beam_diff: 36.00 entry pos: 469884.00
2019-05-06 11:25:51.135732, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000150] is in the window to link with internal bag_id [000022642], scan state: NotScanned, travel dist: 1673.00, beam_diff: 83.00 entry pos: 471068.00
2019-05-06 11:26:12.826459, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000170] is in the window to link with internal bag_id [000022643], scan state: NotScanned, travel dist: 1630.00, beam_diff: 40.00 entry pos: 472168.00
2019-05-06 11:26:49.452217, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015c] is in the window to link with internal bag_id [000022644], scan state: NotScanned, travel dist: 1632.00, beam_diff: 42.00 entry pos: 473177.00
2019-05-06 11:27:13.193752, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014d] is in the window to link with internal bag_id [000022645], scan state: NotScanned, travel dist: 1669.00, beam_diff: 79.00 entry pos: 474154.00
2019-05-06 11:27:36.862680, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000162] is in the window to link with internal bag_id [000022646], scan state: NotScanned, travel dist: 1623.00, beam_diff: 33.00 entry pos: 475280.00
2019-05-06 11:28:03.173677, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015e] is in the window to link with internal bag_id [000022647], scan state: NotScanned, travel dist: 1676.00, beam_diff: 86.00 entry pos: 476275.00
2019-05-06 11:29:47.193047, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000173] is in the window to link with internal bag_id [000022648], scan state: NotScanned, travel dist: 1668.00, beam_diff: 78.00 entry pos: 482386.00
2019-05-06 11:29:53.984935, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016f] is in the window to link with internal bag_id [000022649], scan state: NotScanned, travel dist: 1632.00, beam_diff: 42.00 entry pos: 483438.00
2019-05-06 11:30:01.353047, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000166] is in the window to link with internal bag_id [000022650], scan state: NotScanned, travel dist: 1639.00, beam_diff: 49.00 entry pos: 484534.00
2019-05-06 11:30:21.686978, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000141] is in the window to link with internal bag_id [000022651], scan state: NotScanned, travel dist: 1643.00, beam_diff: 53.00 entry pos: 485491.00
2019-05-06 11:31:10.867886, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000176] is in the window to link with internal bag_id [000022652], scan state: NotScanned, travel dist: 1657.00, beam_diff: 67.00 entry pos: 486436.00
2019-05-06 11:31:31.394414, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015a] is in the window to link with internal bag_id [000022653], scan state: NotScanned, travel dist: 1667.00, beam_diff: 77.00 entry pos: 487397.00
2019-05-06 11:31:51.210940, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000157] is in the window to link with internal bag_id [000022654], scan state: NotScanned, travel dist: 1674.00, beam_diff: 84.00 entry pos: 488430.00
2019-05-06 11:31:58.077913, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000156] is in the window to link with internal bag_id [000022655], scan state: NotScanned, travel dist: 1672.00, beam_diff: 82.00 entry pos: 489459.00
2019-05-06 11:32:26.372112, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000179] is in the window to link with internal bag_id [000022656], scan state: NotScanned, travel dist: 1633.00, beam_diff: 43.00 entry pos: 490490.00
2019-05-06 11:32:57.564366, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000147] is in the window to link with internal bag_id [000022657], scan state: NotScanned, travel dist: 1670.00, beam_diff: 80.00 entry pos: 491354.00
2019-05-06 11:33:03.745135, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016b] is in the window to link with internal bag_id [000022658], scan state: NotScanned, travel dist: 1669.00, beam_diff: 79.00 entry pos: 492278.00
2019-05-06 11:33:54.068077, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000177] is in the window to link with internal bag_id [000022659], scan state: NotScanned, travel dist: 1662.00, beam_diff: 72.00 entry pos: 494210.00
2019-05-06 11:34:20.614232, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000017a] is in the window to link with internal bag_id [000022661], scan state: NotScanned, travel dist: 1632.00, beam_diff: 42.00 entry pos: 498214.00
2019-05-06 11:34:35.042054, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000164] is in the window to link with internal bag_id [000022662], scan state: NotScanned, travel dist: 1644.00, beam_diff: 54.00 entry pos: 500362.00
2019-05-06 11:34:41.796896, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000163] is in the window to link with internal bag_id [000022663], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 501381.00
2019-05-06 11:34:48.272994, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014a] is in the window to link with internal bag_id [000022664], scan state: NotScanned, travel dist: 1635.00, beam_diff: 45.00 entry pos: 502352.00
2019-05-06 11:37:52.236079, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015d] is in the window to link with internal bag_id [000022665], scan state: NotScanned, travel dist: 1672.00, beam_diff: 82.00 entry pos: 505038.00
2019-05-06 11:37:59.612278, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000142] is in the window to link with internal bag_id [000022666], scan state: NotScanned, travel dist: 1640.00, beam_diff: 50.00 entry pos: 506173.00
2019-05-06 11:38:06.256178, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000152] is in the window to link with internal bag_id [000022667], scan state: NotScanned, travel dist: 1639.00, beam_diff: 49.00 entry pos: 507167.00
2019-05-06 11:49:36.435370, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000169] is in the window to link with internal bag_id [000022668], scan state: NotScanned, travel dist: 1633.00, beam_diff: 43.00 entry pos: 608745.00
2019-05-06 11:49:44.338040, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014c] is in the window to link with internal bag_id [000022669], scan state: NotScanned, travel dist: 1627.00, beam_diff: 37.00 entry pos: 609935.00
